评估资产,文化程度,人均工资,月末合计,货币资金,应收票据,存货,固定资产,总资产,借款,应付票据,应交税金,实收资本,负债及权益,应收帐款,预付账款,应付账款,收入,成本税金,期间费用,外收净额,所得税,净利润,毛利率,净利率,个人保证,企业保证,房产抵押,知识产权质押,应收账款质押,营运资金,净资产,资产负债率,流动比率,速动比率,长期资产适宜率,齿轮比率,年营业收入,销售利润率,净资产回报率,利息保障倍数,净资产增长率,销售收入增长率,利润增长率,利润增长额,报告编号
1.0,5.0,6912.0,2097.0,888.0,1166.0,4824.0,1636.0,18548.0,2235.0,0.0,86.0,2677.0,18548.0,6644.0,120.0,4793.0,20751.0,16040.0,3895.0,760.0,33.0,1543.0,0.23,0.07,1.0,0.0,0.0,0.0,0.0,6038.0,8307.0,0.55,1.61,1.12,3.45,0.27,20751.0,0.07,0.18,15.01,-0.09,0.22,6.71,1343.0,056872301
1.0,5.0,7468.0,1050.0,1375.0,1371.0,696.0,5735.0,15505.0,954.0,0.0,225.0,3470.0,15505.0,2219.0,66.0,1814.0,15109.0,10606.0,1897.0,-62.0,287.0,2173.0,0.3,0.14,1.0,0.0,0.0,0.0,0.0,1376.0,7468.0,0.47,1.26,1.06,1.32,0.25,15833.0,0.14,0.34,16.02,0.41,0.32,2.27,1593.0,056912202
0.0,3.0,10000.0,538.0,1877.0,302.0,4285.0,10.0,11817.0,756.0,855.0,74.0,6596.0,11817.0,2419.0,192.0,3137.0,18527.0,16861.0,1449.0,-158.0,7.0,54.0,0.09,0.0,1.0,0.0,0.0,0.0,1.0,5972.0,6283.0,0.47,2.08,1.3,20.24,0.26,18527.0,0.0,0.01,1.28,0.01,0.37,-0.64,-97.0,057692202
1.0,4.0,7272.0,209.0,649.0,809.0,457.0,370.0,13841.0,1002.0,0.0,221.0,9399.0,13841.0,6201.0,0.0,1341.0,18566.0,15179.0,2220.0,0.0,32.0,1134.0,0.18,0.06,1.0,1.0,0.0,0.0,1.0,6357.0,9980.0,0.31,2.44,2.37,2.86,0.17,9601.0,0.07,0.13,0.0,0.0,0.0,0.0,628.0,058972101
1.0,6.0,9625.0,1972.0,2706.0,70.0,1594.0,1652.0,23875.0,2720.0,0.0,-54.0,3444.0,23875.0,14243.0,867.0,2523.0,444.0,257.0,806.0,0.0,0.0,-594.0,0.43,-1.34,1.0,0.0,0.0,0.0,0.0,13898.0,15416.0,0.27,3.34,3.07,10.51,0.16,444.0,-1.34,-0.03,-35.96,0.03,1.73,0.19,142.0,059312101
1.0,4.0,18400.0,38.0,237.0,0.0,931.0,120.0,3251.0,555.0,0.0,5.0,150.0,3251.0,1364.0,0.0,424.0,1949.0,1663.0,169.0,0.0,23.0,94.0,0.15,0.05,1.0,0.0,1.0,0.0,0.0,2084.0,2204.0,0.32,2.99,2.1,18.41,0.25,1949.0,0.05,0.05,9.32,0.24,0.65,0.65,37.0,062992102
0.0,4.0,7137.0,148.0,911.0,162.0,769.0,299.0,3627.0,1500.0,0.0,110.0,1130.0,3627.0,1334.0,96.0,867.0,5701.0,4145.0,1296.0,46.0,0.0,307.0,0.28,0.05,1.0,0.0,0.0,0.0,0.0,1608.0,819.0,0.77,1.94,1.49,6.42,1.83,5701.0,0.05,0.45,13.9,0.5,0.18,-0.14,-52.0,065642202
1.0,4.0,5623.0,1412.0,1027.0,145.0,1326.0,81.0,5345.0,1021.0,0.0,-7.0,640.0,5345.0,1695.0,0.0,628.0,3567.0,2940.0,558.0,8.0,37.0,95.0,0.18,0.03,1.0,1.0,1.0,0.0,0.0,2693.0,1388.0,0.74,2.58,1.8,3.85,0.74,3567.0,0.03,0.07,3.19,0.17,0.34,-0.81,-409.0,066862102
1.0,3.0,4337.0,179.0,102.0,0.0,528.0,1737.0,6905.0,2973.0,0.0,-29.0,1000.0,6905.0,924.0,303.0,15.0,4307.0,2984.0,1079.0,0.0,0.0,278.0,0.31,0.06,1.0,0.0,1.0,0.0,0.0,2122.0,3921.0,0.43,1.71,1.53,2.45,0.76,4307.0,0.06,0.07,2.64,0.08,0.0,0.03,8.0,068142201
0.0,3.0,8780.0,187.0,93.0,0.0,1146.0,55.0,8056.0,2013.0,0.0,7.0,1000.0,8056.0,3532.0,40.0,723.0,8990.0,7528.0,1053.0,0.0,19.0,391.0,0.16,0.04,1.0,1.0,1.0,0.0,0.0,3376.0,5291.0,0.34,2.22,1.81,96.94,0.38,8990.0,0.04,0.08,5.82,0.08,0.09,-0.05,-22.0,068632101
